hashtag,user_name,user_id,video_id,video_description,video_create_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
ediblegummy,m1lkbunniee,6957326159051539462,7124382759526599978,so guess who's going on break because of another somewhat traumatic experience? #fypシ #vent #dontdodrugs #minor #ediblegummy #ididntknow #fypp #rant #digitalart #iwasscared #fypage #fypシ゚viral,2022-07-25 11:43:46,15,https://www.tiktok.com/@m1lkbunniee/video/7124382759526599978?lang=en,37500,111,121,100000
ediblegummy,demitrianna,6780536550918947846,7086848927844125998,Once that bad boy kicks in I’m ✨GOLDEN✨#fupシ #fyp #viral #ediblegummy #socialanxiety #anxiety #anxietyrelief #shmokersonly #shmokertok #shmokerthings #funny #4U #follow #trendingsound,2022-04-15 08:13:18,15,https://www.tiktok.com/@demitrianna/video/7086848927844125998?lang=en,1339,97,76,26700
ediblegummy,queenaries0325,6822434706073764870,7027104205609569583,I can’t be the only one #ediblegummy #JustDanceWithCamila #comedy #lgbt #lesbiantiktok🌈 #pansexuał #high,2021-11-05 08:13:18,15,https://www.tiktok.com/@queenaries0325/video/7027104205609569583?lang=en,748,40,124,9880
ediblegummy,stephanie_amber1112,6641952692497448965,7064206714463358255,lol I hope he learned his lesson when it comes to eating things. haha little turd #dogsofttiktok #ediblegummy #ilovemydogs  #gothigh #fyp,2022-02-13 06:49:58,17,https://www.tiktok.com/@stephanie_amber1112/video/7064206714463358255?lang=en,141,18,6,6064
whenthegummieskickin,nats_house,6794958311126729733,7065720403544558895,#whenthegummieskickin #thc #high #fyp #finelikewine #puertorico,2022-02-17 08:43:51,85,https://www.tiktok.com/@nats_house/video/7065720403544558895?lang=en,135,15,11,4818
ediblegummy,lostboytaylor,6622748505814761477,7091379912237501739,How would they know? 😂 #tsacheck #tsa #ediblegummy #foryou #traveltiktok,2022-04-27 13:15:50,5,https://www.tiktok.com/@lostboytaylor/video/7091379912237501739?lang=en,379,7,7,4419
ediblegummy,candiaplred,6617965019916419077,7087933983140547886,When they ate my whole pack of edible gummies 🤣😂😂 #fyp #ediblegummy #mybestfriend #mybestfriends #high #highasf #foryourpage #funnymoments #makingmemories,2022-04-18 06:23:54,41,https://www.tiktok.com/@candiaplred/video/7087933983140547886?lang=en,132,5,7,4147
ediblegummy,mylawknee,6879220412623455237,7109963089516203306,#stitch with @gayonsaturday_ them things get you if youre not ready for it. Different kinda high 😂 #AmazonMusicProudHeroes #ediblegummy #iwasntready,2022-06-16 15:08:03,26,https://www.tiktok.com/@mylawknee/video/7109963089516203306?lang=en,261,11,24,4006
ediblegummy,rivkah143,7012259864018879493,7097035056274836778,Oops🍃💨 I’m sober tho. #smoke #ediblegummy #relatable #sober #smokersunite #smokefree #fyp #foryou #funny #funnyvideo #oops #viralvideo #viral #blowthisup,2022-05-12 19:00:41,15,https://www.tiktok.com/@rivkah143/video/7097035056274836778?lang=en,291,2,25,3536
ediblegummy,cheybeckk,6790642606487225349,7082754932629081386,Back with another review of medical gummies 😎 #ediblegummy #medicalmarijuana #fyp #fypシ #medicalthc #IL #illinois #chicago #asmr #ediblereview   #Chicago #asmr #trending #butterflyinthesky,2022-04-04 07:26:31,68,https://www.tiktok.com/@cheybeckk/video/7082754932629081386?lang=en,69,0,3,3510
ediblegummy,kmalynnj,6808650127718188037,7091319024088304938,I was very much not okay and i had to go to la escuela the next day #ediblegummy #trend #school,2022-04-27 09:19:34,6,https://www.tiktok.com/@kmalynnj/video/7091319024088304938?lang=en,206,5,1,3386
whenthegummieskickin,mykey4real,6925640541264004102,7094251439513455918,Sometimes you have to roll down a hill when you’re feeling it. 💯#sometimesyougotta #rollingpanda  #whenthegummieskickin #easygoing,2022-05-05 06:58:50,5,https://www.tiktok.com/@mykey4real/video/7094251439513455918?lang=en,322,29,269,3156
ediblegummy,velvetdawnlunsford,6833485074354209798,7092949198299073835,Michigan lake flashbacks 😅 #lipsync #ediblegummy #fyp #fypシ #allten,2022-05-01 18:45:28,15,https://www.tiktok.com/@velvetdawnlunsford/video/7092949198299073835?lang=en,362,21,5,3003
ediblegummy,robertwhitten0,6799417067159782406,7007586285011422469,#ediblegummy  #Pennsylvania,2021-09-13 17:53:46,32,https://www.tiktok.com/@robertwhitten0/video/7007586285011422469?lang=en,31,1,2,2724
whenthegummieskickin,nickicoontz,23710808,7054008246746795310,#whenthegummieskickin #icantunderstandyou  judging living our best lives! Hahah,2022-01-16 19:14:41,30,https://www.tiktok.com/@nickicoontz/video/7054008246746795310?lang=en,79,23,8,1962
ediblegummy,chyseven25,6924501496642896901,7078764911656045866,#ediblegang #ediblegummy #OscarsAtHome #LizzosBigGrrrls #WomenOwnedBusiness #AEMembersAlways #tiktok #ifollowback #over40 #blackgirltiktok #over40club #fyp #momsoftiktok #fypシ #blackgirlmagic  #over40club #houston #tiktoker #ediblefoodcravings,2022-03-24 13:23:11,30,https://www.tiktok.com/@chyseven25/video/7078764911656045866?lang=en,199,17,48,1709
whenthegummieskickin,hispet85_heranswer69,6888553270240592902,6967178390163983622,#stayinguplate #whenthegummieskickin #18plusonly,2021-05-27 20:30:34,12,https://www.tiktok.com/@hispet85_heranswer69/video/6967178390163983622?lang=en,46,24,3,1477
ediblegummy,blhutch,282065907428941824,7022561906997103878,#stitch with @smileyrena #toxicstepmom #ediblegummy,2021-10-24 02:26:51,149,https://www.tiktok.com/@blhutch/video/7022561906997103878?lang=en,56,0,4,1423
ediblegummy,sassbrina,1860740,6965768089581489413,&I’m signing off #stiizy #ediblegummy #fyp,2021-05-24 01:18:00,14,https://www.tiktok.com/@sassbrina/video/6965768089581489413?lang=en,66,0,8,1373
whenthegummieskickin,teresa78n,7076187323926905898,7078387766601501995,#whenthegummieskickin #fyp #mickeymouse,2022-03-23 12:59:40,15,https://www.tiktok.com/@teresa78n/video/7078387766601501995?lang=en,31,20,10,1319
